image_id,v9_iou,v9_ari,used_v8,cov7,prec7,areaU7,cov8,prec8,areaU8
128,0.6876770190391649,0.08823103729555062,1,0.1663898169058773,0.9714503650430424,0.17127979245599956,1.0,0.9526679824327448,1.0496836447115474
129,0.9572443833067505,0.9327146279369543,0,0.4069820332044576,0.9916874480465503,0.4103934500795997,1.0,0.9504238138615696,1.0521621885051495
134,0.9724247685157048,0.9426783436798863,1,0.016068967539512653,0.9272419627749577,0.017329853678562004,0.9839310324604873,0.9975918658580093,0.9863061900712548
139,0.8547423187764369,0.7634181219348213,0,0.40302157309393005,0.9841308793456033,0.4095203001473938,0.41879941042476215,0.9837510327733406,0.42571686989146457
142,0.8932356608339583,0.9260753562068402,0,1.0,0.9930998792478868,1.0069480632273753,1.0,0.9930998792478868,1.0069480632273753
149,0.8904472878365856,0.7703814858455151,0,0.547235841081995,0.9720712333703715,0.5629585798816568,0.547235841081995,0.9720712333703715,0.5629585798816568
175,0.8664757472665721,0.823165694317952,0,0.32144848679430205,0.9807692307692307,0.32775139830007266,0.32144848679430205,0.9807692307692307,0.32775139830007266
176,0.9685038021494682,0.8390549952135533,1,0.08336002427470879,0.9447841039358044,0.08823182346892332,0.9371891910116148,0.9813249077718744,0.955024358995971
178,0.09619467147835635,-0.016548537181568502,0,0.05640347197573489,0.9644137931034483,0.058484721370720534,0.07753864025039528,0.9732685297691372,0.07966829079410151
180,0.8498860828519401,0.7348310311203192,0,0.4303702126962815,0.9924107985652256,0.43366135608206574,1.0,0.9493261623117218,1.0533787434709283
181,0.9859325906848545,0.9760838831551094,0,0.5449709864603481,0.9789005102964062,0.5567174403610574,0.5449709864603481,0.9789005102964062,0.5567174403610574
182,0.9753948199590164,0.9530178837990009,0,0.9934834316249064,0.9867956891808797,1.0067772311100973,0.9934834316249064,0.9867956891808797,1.0067772311100973
183,0.9745238014650521,0.95456153382521,0,0.44313855061518614,0.977815581169282,0.4531923597344158,0.44313855061518614,0.977815581169282,0.4531923597344158
184,0.9723022164666808,0.9484343416176666,0,0.47596123088733927,0.9850385621131376,0.4831904548653317,1.0,0.9743038349461611,1.0263738724329858
