image_id,v11_iou,v11_ari,v9_iou,v9_ari,delta_iou_vs_v9,delta_ari_vs_v9,proposal_count_dense,source,switched,v9_cov_union,best_cov_union,best_prec_union,best_area_u
329,0.9092762487231417,0.8189091291339031,0.9092762487231417,0.8189091291339031,0.0,0.0,35,v9_keep,0,0.48696970165643316,0.48696970165643316,1.0,0.48696970165643316
33,0.9567187443343663,0.8298490746787678,0.9567187443343663,0.8298490746787678,0.0,0.0,50,v9_keep,0,0.8125350009333582,0.8125350009333582,0.9883441503150485,0.8221174786883205
330,0.5986421725215709,0.47154106055623246,0.5986421725215709,0.47154106055623246,0.0,0.0,132,v9_keep,0,0.23335013546720434,0.23335013546720434,0.9640765326044514,0.24204523974544767
331,0.8647168753487858,0.5779901389680571,0.8647168753487858,0.5779901389680571,0.0,0.0,72,v9_keep,0,0.8136551021353468,0.019377151944663176,1.0,0.019377151944663176
332,0.9046517392344681,0.8630609849054163,0.9046517392344681,0.8630609849054163,0.0,0.0,33,v9_keep,0,0.34390021678343646,0.020861478525872633,1.0,0.020861478525872633
334,0.9475530246721648,0.9234584899693539,0.9475530246721648,0.9234584899693539,0.0,0.0,33,v9_keep,0,0.358261716601989,0.358261716601989,0.9666384061042814,0.3706264041854546
337,0.9931624902911279,0.9746789672107519,0.9931624902911279,0.9746789672107519,0.0,0.0,32,v9_keep,0,0.8031883426222872,0.8031883426222872,0.9823866557495669,0.8175888158918952
34,0.9103807700469891,0.7549367855880682,0.9103807700469891,0.7549367855880682,0.0,0.0,75,v9_keep,0,0.6773412271259419,0.6773412271259419,0.988289911308204,0.685366934717913
342,0.9570143398236032,0.9239140916688924,0.9570143398236032,0.9239140916688924,0.0,0.0,40,v9_keep,0,0.4565572313014241,0.4565572313014241,0.9968587865739597,0.4579958941532095
343,0.9846584658446151,0.9502625318783986,0.9846584658446151,0.9502625318783986,0.0,0.0,39,v9_keep,0,0.7639399630687647,0.7639399630687647,0.9801952128305861,0.7793753255156958
344,0.9874401788865699,0.9620836162916739,0.9874401788865699,0.9620836162916739,0.0,0.0,35,v9_keep,0,0.7312519561815336,0.7312519561815336,0.9847836624586398,0.7425508607198748
345,0.8220244716317635,0.7509898063046844,0.8220244716317635,0.7509898063046844,0.0,0.0,35,v9_keep,0,0.36389971970373153,0.36389971970373153,0.9977245406148033,0.364729647202518
346,0.9301677194470478,0.9034903955543115,0.9301677194470478,0.9034903955543115,0.0,0.0,34,v9_keep,0,0.34949295465588315,0.34949295465588315,1.0,0.34949295465588315
347,0.9704900067813743,0.9321235639450713,0.9704900067813743,0.9321235639450713,0.0,0.0,34,v9_keep,0,0.5741482329010933,0.5741482329010933,0.9682173866437989,0.5929951690821256
348,0.9008110848208808,0.889310235777387,0.9008110848208808,0.889310235777387,0.0,0.0,28,v9_keep,0,0.2498009523066115,0.2498009523066115,0.9975685785536159,0.2504098040746234
349,0.9187794139926179,0.9013437857955646,0.9187794139926179,0.9013437857955646,0.0,0.0,31,v9_keep,0,0.27973307501883543,0.27973307501883543,1.0,0.27973307501883543
350,0.8523058319086885,0.8335843931505627,0.8523058319086885,0.8335843931505627,0.0,0.0,31,v9_keep,0,0.2382029434546863,0.2382029434546863,0.9916161485876435,0.24021688613477923
351,0.983656286754833,0.9680325822827865,0.983656286754833,0.9680325822827865,0.0,0.0,38,v9_keep,0,0.4910609159075417,0.4910609159075417,0.9974510667757568,0.4923157959967776
352,0.9536526153147937,0.8560448966704362,0.9536526153147937,0.8560448966704362,0.0,0.0,26,v9_keep,0,0.9921246683796036,0.9921246683796036,0.9992215606656708,0.9928975789099873
357,0.9764521792192334,0.9626229267778154,0.9764521792192334,0.9626229267778154,0.0,0.0,35,v9_keep,0,0.3981291070738307,0.3981291070738307,0.994861293563094,0.40018554310011595
358,0.5547941640779369,0.046690261076309504,0.5547941640779369,0.046690261076309504,0.0,0.0,34,v9_keep,0,0.49546752375454417,0.49719938214781645,1.0,0.49719938214781645
359,0.9336730610150912,0.8540062361912851,0.9336730610150912,0.8540062361912851,0.0,0.0,118,v9_keep,0,0.5658381979592827,0.5658381979592827,0.9999142734676383,0.5658867094645947
36,0.984274247875995,0.9448100531115357,0.984274247875995,0.9448100531115357,0.0,0.0,29,v9_keep,0,0.7888195844862356,0.7888195844862356,0.98597053421392,0.8000437712016758
362,0.5207905787255378,0.00537394799504516,0.5207905787255378,0.00537394799504516,0.0,0.0,53,v9_keep,0,0.9636260961998405,0.9636260961998405,0.9159917270560003,1.0520030560722828
363,0.9383732654704509,0.8490447842132451,0.9383732654704509,0.8490447842132451,0.0,0.0,26,v9_keep,0,0.6821204768803785,0.6821204768803785,0.9997441670077774,0.6822950304595996
364,0.9791702642009602,0.9404573772436566,0.9791702642009602,0.9404573772436566,0.0,0.0,27,v9_keep,0,0.7255691148533342,0.7255691148533342,0.9807838784792496,0.7397849116141288
365,0.563889712420982,0.13218758768041525,0.563889712420982,0.13218758768041525,0.0,0.0,119,v9_keep,0,0.7257962887117608,0.7257962887117608,0.9764548806849489,0.743297312624051
366,0.9174618187862201,0.8271040056417368,0.9174618187862201,0.8271040056417368,0.0,0.0,28,v9_keep,0,0.5458527759261023,0.01306224803986922,1.0,0.01306224803986922
367,0.9197711254612613,0.8103072347112382,0.9197711254612613,0.8103072347112382,0.0,0.0,35,v9_keep,0,0.7434812828914705,0.7434812828914705,0.9995728093127569,0.7437990269089465
371,0.961755044577502,0.9124240733328056,0.961755044577502,0.9124240733328056,0.0,0.0,31,v9_keep,0,0.7292947666027403,0.7292947666027403,0.9998102672521277,0.7294331639613278
373,0.8955253431831076,0.895329649796684,0.8955253431831076,0.895329649796684,0.0,0.0,45,v9_keep,0,0.2131412773711162,0.2131412773711162,1.0,0.2131412773711162
374,0.8964059196597998,0.724984276007654,0.8964059196597998,0.724984276007654,0.0,0.0,44,v9_keep,0,0.6556784649129728,0.6556784649129728,0.9999759337697343,0.655694245001657
376,0.8828185769806323,0.846924324893578,0.8828185769806323,0.846924324893578,0.0,0.0,43,v9_keep,0,0.29856847512843004,0.29856847512843004,0.9877713871185035,0.30226475379025186
377,0.5257758952629561,0.0015844685728217825,0.5257758952629561,0.0015844685728217825,0.0,0.0,44,v9_keep,0,0.9976164340599027,0.9976164340599027,0.9822443181818182,1.0156499921593225
