image_id,selected_source,selected_run_idx,predicted_iou,actual_iou,actual_ari
rwtd_442,run2_union,2,0.6175668239593506,0.6579851930152169,0.6615966224308656
rwtd_443,run3_union,3,0.5765784978866577,0.5645875591606413,0.04536916430062788
rwtd_444,run2_union,2,0.9296191930770874,0.9495248029615813,0.944428663510529
rwtd_447,run3_union,3,0.8730077743530273,0.9405273780253147,0.839001800073906
rwtd_448,rwtd_448_p01_m00.png,2,0.9654301404953003,0.9823665757093496,0.9636536834204156
rwtd_449,run0_union,0,0.9571709632873535,0.975911002099463,0.9502790801516353
rwtd_450,rwtd_450_p02_m00.png,0,0.8232428431510925,0.8514640045261888,0.6786768567271332
rwtd_451,run0_union,0,0.9157834053039551,0.9416092765851927,0.9365123106368473
rwtd_452,run2_union,2,0.8946462869644165,0.9247674975403262,0.8259944347285576
rwtd_453,run3_union,3,0.828667163848877,0.9272383325237565,0.8157711864012192
rwtd_455,run1_union,1,0.8945947885513306,0.8817297297233748,0.8876867449504036
rwtd_456,rwtd_456_p01_m00.png,2,0.8886940479278564,0.8986962136006219,0.8558545922339946
rwtd_457,run2_union,2,0.9101794958114624,0.9126543351498019,0.8852288928680344
rwtd_461,rwtd_461_p02_m00.png,2,0.870980441570282,0.8663935475589133,0.7068603740280011
rwtd_463,run2_union,2,0.9509907364845276,0.9710586142117801,0.9056951532232896
rwtd_464,rwtd_464_p01_m00.png,2,0.8167335987091064,0.8769635335438389,0.7025330816856407
rwtd_465,rwtd_465_p02_m09.png,3,0.8200896382331848,0.8387052717779383,0.8421542846860134
rwtd_466,run3_union,3,0.7544791102409363,0.8231773417805586,-0.02660293194664658
rwtd_467,run2_union,2,0.8738793730735779,0.9052814674221011,0.8584133802222258
rwtd_468,run2_union,2,0.9516258239746094,0.9718500016843695,0.9497368657188409
rwtd_469,rwtd_469_p01_m03.png,3,0.8118467926979065,0.9209836726280793,0.9490400102175098
